"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Gods and Generals ",280,"Ron Maxwell",33,"Billy Campbell",789,"Bruce Boxleitner",640,"John Castle",67,84,497,13215,1671,953,"confederacy|hero|prequel|stonewall jackson|war hero",0,"Color","Drama|History|War",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1",12870569,5.6e+07,6.3
"Need for Speed ",132,"Scott Waugh",76,"Rami Malek",3000,"Dominic Cooper",3000,"Ramon Rodriguez",464,327,346,136954,7081,32000,"cross country|custom car|illegal street racing|police officer crushed|street racing",1,"Color","Action|Crime|Drama|Thriller",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1",43568507,6.6e+07,6.5
"The Extra Man ",108,"Shari Springer Berman",30,"Lynn Cohen",474,"Marian Seldes",403,"Dan Hedaya",281,104,29,4124,2029,916,"co worker|escort|magazine|teacher|writer",4,"Color","Comedy",2010,"English","USA","R",2.35,"http://www.imdb.com/title/tt1361313/?ref_=fn_tt_tt_1",453079,7e+06,5.9
"The Green Mile ",189,"Frank Darabont",0,"Tom Hanks",15000,"Jeffrey DeMunn",745,"Michael Jeter",693,186,1377,782610,17716,30000,"1930s|death row inmate|healing|prison guard|southern u.s.",0,"Color","Crime|Drama|Fantasy|Mystery",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1",136801374,6e+07,8.5
"Slumdog Millionaire ",120,"Danny Boyle",0,"Anil Kapoor",668,"Saurabh Shukla",56,"Ayush Mahesh Khedekar",40,418,1017,641997,820,13000,"cheating|falling from height|murder|non professional cast|slum",0,"Color","Drama|Romance",2008,"English","UK","R",2.35,"http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1",141319195,1.5e+07,8
"Love Stinks ",94,"Jeff Franklin",24,"Ivana Milicevic",834,"Tyra Banks",625,"Bridgette Wilson-Sampras",545,45,85,4377,2662,309,"black comedy|marriage|marriage proposal|not taking no for an answer|obsessive woman",3,"Color","Comedy",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0188863/?ref_=fn_tt_tt_1",2800000,4e+06,5.8
"Hot Tub Time Machine ",101,"Steve Pink",38,"Charlie McDermott",496,"Collette Wolfe",390,"Crystal Lowe",318,265,243,139184,1272,12000,"cheating wife|drug reference|maintenance man|male vomiting|promiscuous woman",8,"Color","Comedy|Sci-Fi",2010,"English","USA","R",1.85,"http://www.imdb.com/title/tt1231587/?ref_=fn_tt_tt_1",50213619,3.6e+07,6.4
"The Life Aquatic with Steve Zissou ",119,"Wes Anderson",0,"Bill Murray",13000,"Anjelica Huston",1000,"Matthew Gray Gubler",639,259,632,139535,15757,0,"expedition|oceanographer|sea|shark|team",8,"Color","Adventure|Comedy|Drama",2004,"English","USA","R",2.35,"http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1",24006726,5e+07,7.3
"Child 44 ",137,"Daniel Espinosa",79,"Tom Hardy",27000,"Fares Fares",254,"Michael Nardone",194,172,185,40568,27666,18000,"child murderer|murder|sex|soviet union|woman slaps a man",3,"Color","Crime|Drama|Thriller",2015,"English","Czech Republic","R",2.35,"http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1",1206135,5e+07,6.4
"The Lucky One ",101,"Scott Hicks",96,"Blythe Danner",713,"Riley Thomas Stewart",220,"Jay R. Ferguson",204,170,106,76882,1852,29000,"arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder",0,"Color","Drama|Romance",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1327194/?ref_=fn_tt_tt_1",60443237,2.5e+07,6.5
"Code Name: The Cleaner ",91,"Les Mayfield",10,"Callum Rennie",716,"Will Patton",537,"Cedric the Entertainer",436,53,26,9785,2700,233,"comic violence|hand to hand combat|kung fu|talking to self in mirror|violence",3,"Color","Action|Comedy|Crime",2007,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1",8104069,2e+07,4.5
"Are We There Yet? ",95,"Brian Levant",32,"Nia Long",826,"Tracy Morgan",642,"Jay Mohr",563,75,149,22679,3558,773,"car fire|children|cockroach|independent film|new year",2,"Color","Adventure|Comedy|Family|Romance",2005,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0368578/?ref_=fn_tt_tt_1",82301521,3.2e+07,4.6
"All About Steve ",99,"Phil Traill",3,"Bradley Cooper",14000,"Katy Mixon",982,"Beth Grant",628,128,143,33088,16461,0,"blind date|crossword puzzle|eccentric|fall|mine shaft",3,"Color","Comedy|Romance",2009,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1",33860010,1.5e+07,4.8
"As Above, So Below ",93,"John Erick Dowdle",66,"Ben Feldman",1000,"Edwin Hodge",200,"Perdita Weeks",161,196,211,49948,1410,14000,"archeologist|catacomb|found footage|paris france|philosopher's stone",0,"Color","Horror|Mystery|Thriller",2014,"English","USA","R",1.85,"http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1",21197315,5e+06,6.1
"Redacted ",90,"Brian De Palma",0,"Mike Figueroa",343,"Daniel Stewart Sherman",29,"Kel O'Neill",15,133,108,8824,408,559,"blood splatter|iraq|murder|rape|soldier",0,"Color","Crime|Thriller|War",2007,"English","USA","R",1.85,"http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1",65087,5e+06,6.2
"Pootie Tang ",81,"Louis C.K.",0,"Wanda Sykes",560,"J.B. Smoove",555,"Robert Vaughn",542,31,131,11399,2238,0,"based on sketch comedy|corporation|cult film|evil corporation|sex",0,"Color","Action|Adventure|Comedy|Musical",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0258038/?ref_=fn_tt_tt_1",3293258,3e+06,5.2
"Legend ",132,"Brian Helgeland",241,"Tom Hardy",27000,"Paul Anderson",154,"Tara Fitzgerald",151,260,174,87682,27659,43000,"1960s|based on a true story|gangster|identical twins|murder",2,"Color","Biography|Crime|Drama|History|Thriller",2015,"English","UK","R",2.35,"http://www.imdb.com/title/tt3569230/?ref_=fn_tt_tt_1",1865774,3e+07,7
"The Adventures of Tintin ",107,"Steven Spielberg",14000,"Toby Jones",2000,"Mackenzie Crook",871,"Tony Curran",845,440,447,177383,4631,44000,"captain|morocco|ship|tintin|treasure",1,"Color","Action|Adventure|Family|Mystery",2011,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1",77564037,1.35e+08,7.4
"Get Over It ",87,"Tommy O'Haver",13,"Mila Kunis",15000,"Kirsten Dunst",4000,"Carmen Electra",869,63,180,15617,22485,0,"basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream",1,"Color","Comedy|Romance",2001,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1",11560259,2.2e+07,5.8
"The Pursuit of Happyness ",117,"Gabriele Muccino",125,"Will Smith",10000,"Kurt Fuller",617,"James Karen",168,201,611,338383,11036,32000,"bus|intern|internship|salesman|stockbroker",0,"Color","Biography|Drama",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1",162586036,5.5e+07,8
"Bowling for Columbine ",120,"Michael Moore",909,"Michael Moore",909,"Dick Clark",504,"Bill Clinton",184,215,888,123090,1779,4000,"bank|columbine|columbine high school killings|firearm|school shooting",2," Black and White","Crime|Documentary|Drama",2002,"English","Germany","R",1.85,"http://www.imdb.com/title/tt0310793/?ref_=fn_tt_tt_1",21244913,4e+06,8
"Lincoln ",150,"Steven Spielberg",14000,"Joseph Gordon-Levitt",23000,"Hal Holbrook",826,"Bruce McGill",655,538,720,197412,25517,71000,"cultural conflict|politics|president|slavery|u.s. president",0,"Color","Biography|Drama|History|War",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1",182204440,6.5e+07,7.4
"Mr. Holland's Opus ",143,"Stephen Herek",65,"Alicia Witt",975,"Olympia Dukakis",345,"Jean Louisa Kelly",320,42,154,30230,2223,0,"1990s|high school|high school teacher|teacher inspires students|teaching",1,"Color","Drama|Music",1995,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1",82528097,6500000,7.3
"Self/less ",117,"Tarsem Singh",763,"Ryan Reynolds",16000,"Derek Luke",543,"Sandra Ellis Lafferty",523,178,126,57674,17847,11000,"cancer|elderly man|funeral|medical|transhumanism",0,"Color","Action|Mystery|Sci-Fi|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2140379/?ref_=fn_tt_tt_1",12276810,2.6e+07,6.5
"The Swindle ",101,"Claude Chabrol",324,"Isabelle Huppert",678,"François Cluzet",541,"Michel Serrault",28,34,21,1649,1256,33,"con|con artist|money|scam|sils maria",0,"Color","Comedy|Crime|Thriller",1997,"French","France","",1.66,"http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1",231417,6e+07,6.6
"Unleashed ",103,"Louis Leterrier",255,"Morgan Freeman",11000,"Jet Li",5000,"Bob Hoskins",5000,177,303,85198,22383,0,"collar|dog|fight|fighting|piano",1,"Color","Action|Crime|Drama|Thriller",2005,"English","France","R",2.35,"http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1",24520892,4.5e+07,7
"Final Destination 5 ",92,"Steven Quale",77,"Emma Bell",703,"Jacqueline MacInnes Wood",682,"Courtney B. Vance",495,277,227,83788,3074,20000,"blood splatter|death|eyeball run over by car|latex gloves|suspension bridge",0,"Color","Horror",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1",42575718,4e+07,5.9
"Snake Eyes ",98,"Brian De Palma",0,"Nicolas Cage",12000,"Mike Starr",854,"John Heard",697,117,241,64121,15269,880,"assassination|boxing|casino|conspiracy|long take",1,"Color","Crime|Mystery|Thriller",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1",55585389,6.9e+07,5.9
"Sling Blade ",148,"Billy Bob Thornton",0,"Robert Duvall",3000,"Dwight Yoakam",324,"J.T. Walsh",263,104,309,72443,3967,0,"friend|mental institution|murder|repair shop|small town",0,"Color","Drama",1996,"English","USA","R",1.85,"http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1",24475416,890000,8
"Scary Movie 2 ",83,"Keenen Ivory Wayans",322,"Natasha Lyonne",1000,"Veronica Cartwright",422,"Andy Richter",179,127,548,119590,1645,0,"blow job|demon|exorcism|priest|professor",7,"Color","Comedy",2001,"English","USA","R",1.85,"http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1",71277420,4.5e+07,5.2
"What's Your Number? ",117,"Mark Mylod",20,"Chris Evans",11000,"Ari Graynor",904,"Ed Begley Jr.",783,151,91,58957,15713,0,"ex boyfriend|morning after|prince charming|quarrel|womanizer",1,"Color","Comedy|Romance",2011,"English","USA","R",1.85,"http://www.imdb.com/title/tt0770703/?ref_=fn_tt_tt_1",13987482,2e+07,6
"Blindness ",121,"Fernando Meirelles",353,"Don McKellar",45,"Joe Pingue",30,"Yûsuke Iseya",18,229,300,59462,142,0,"blindness|epidemic|hospital|pubic hair|quarantine",0,"Color","Drama|Mystery|Sci-Fi|Thriller",2008,"English","Canada","R",1.85,"http://www.imdb.com/title/tt0861689/?ref_=fn_tt_tt_1",3073392,2.5e+07,6.6
"Warlock ",103,"Steve Miner",49,"Julian Sands",687,"Richard E. Grant",554,"Lori Singer",304,31,79,11668,1990,0,"17th century|book|death|warlock|witch hunter",0,"Color","Action|Fantasy|Horror|Thriller",1989,"English","USA","R",1.85,"http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1",9094451,7e+06,6.2
"The Sixth Sense ",107,"M. Night Shyamalan",0,"Bruce Willis",13000,"Haley Joel Osment",3000,"Olivia Williams",766,234,2073,704766,17540,14000,"able to see the dead|ghost|plot twist|psychic|surprise ending",0,"Color","Drama|Mystery|Thriller",1999,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0167404/?ref_=fn_tt_tt_1",293501675,4e+07,8.1
"Head of State ",95,"Chris Rock",0,"Bernie Mac",1000,"Dylan Baker",812,"Tracy Morgan",642,44,80,15046,4537,638,"alderman|party|president|presidential candidate|washington d.c.",1,"Color","Comedy",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0325537/?ref_=fn_tt_tt_1",37788228,35200000,5.4
"I Am Sam ",132,"Jessie Nelson",24,"Dianne Wiest",967,"Loretta Devine",912,"Richard Schiff",506,129,431,121937,3152,15000,"child custody|custody battle|disability|mentally impaired man|single father",0,"Color","Drama",2001,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0277027/?ref_=fn_tt_tt_1",40270895,2.2e+07,7.6
"Heaven's Gate ",325,"Michael Cimino",517,"Jeff Bridges",12000,"Sam Waterston",849,"Isabelle Huppert",678,102,189,9830,14255,1000,"1890s|hired gun|immigrant|johnson county war|sheriff",0,"Color","Adventure|Drama|Western",1980,"English","USA","R",2.35,"http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1",1500000,4.4e+07,6.8
"Dragonslayer ",108,"Matthew Robbins",25,"Ian McDiarmid",1000,"Ralph Richardson",115,"Albert Salmi",94,60,102,10832,1263,0,"apprentice|dragon|king|kingdom|wizard",0,"Color","Action|Adventure|Fantasy",1981,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1",6000000,1.8e+07,6.7
"The White Ribbon ",144,"Michael Haneke",0,"Ulrich Tukur",63,"Burghart Klaußner",43,"Leonie Benesch",16,292,193,52958,167,0,"children|doctor|mysterious event|pastor|small village",0," Black and White","Drama|Mystery",2009,"German","Germany","R",1.85,"http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1",2222647,1.2e+07,7.8
"Mona Lisa Smile ",117,"Mike Newell",179,"Julia Roberts",8000,"Kirsten Dunst",4000,"Marian Seldes",403,141,264,61490,12850,0,"art|college|school|student|wellesley college",1,"Color","Drama",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0304415/?ref_=fn_tt_tt_1",63695760,6.5e+07,6.4
"Freddy's Dead: The Final Nightmare ",93,"Rachel Talalay",54,"Johnny Depp",40000,"Tom Arnold",618,"Yaphet Kotto",581,91,252,30765,42002,963,"dark comedy|dream|freddy krueger|nightmare|serial murder",0,"Color","Comedy|Fantasy|Horror|Thriller",1991,"English","USA","R",1.85,"http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1",34872293,8500000,4.9
"The Sessions ",95,"Ben Lewin",20,"W. Earl Brown",422,"Adam Arkin",374,"Rhea Perlman",365,337,126,36381,1899,11000,"falling in love|iron lung|priest|sex surrogate|therapist",3,"Color","Biography|Comedy|Drama|Romance",2012,"English","USA","R",1.85,"http://www.imdb.com/title/tt1866249/?ref_=fn_tt_tt_1",5997134,1e+06,7.2
"Marie Antoinette ",123,"Sofia Coppola",0,"Kirsten Dunst",4000,"Shirley Henderson",887,"Rip Torn",826,260,619,79892,7243,0,"austria|cake|france|queen|versailles",1,"Color","Biography|Drama|History|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0422720/?ref_=fn_tt_tt_1",15962471,4e+07,6.4
"The Impossible ",114,"J.A. Bayona",171,"Naomi Watts",6000,"Geraldine Chaplin",382,"Oaklee Pendergast",284,371,322,145270,7099,54000,"christmas|resort|thailand|tourist|tsunami",0,"Color","Drama|Thriller",2012,"English","Spain","PG-13",2.35,"http://www.imdb.com/title/tt1649419/?ref_=fn_tt_tt_1",18996755,4.5e+07,7.6
"The Hoax ",116,"Lasse Hallström",529,"Hope Davis",442,"Christopher Evan Welch",252,"James Biberi",174,142,74,14581,1134,348,"book|fabrication|fake|hoax|manuscript",0,"Color","Comedy|Drama",2006,"English","USA","R",1.85,"http://www.imdb.com/title/tt0462338/?ref_=fn_tt_tt_1",7156933,2.5e+07,6.7
"Valentine's Day ",125,"Garry Marshall",0,"Bradley Cooper",14000,"Taylor Lautner",12000,"Anne Hathaway",11000,186,211,95437,45696,9000,"flower|indian restaurant|tv station|valentine|valentine's day",12,"Color","Comedy|Romance",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1",110476776,5.2e+07,5.7
"Soul Food ",115,"George Tillman Jr.",88,"Vanessa Williams",1000,"Mekhi Phifer",1000,"Vivica A. Fox",890,34,30,5275,4737,508,"1990s|family relationships|food in title|sister|unity",6,"Color","Comedy|Drama",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1",43490057,7500000,6.9
"Nicholas Nickleby ",132,"Douglas McGrath",41,"Charlie Hunnam",16000,"Anne Hathaway",11000,"Jim Broadbent",1000,80,103,9395,29177,0,"boy|boys' school|death|friend|orphan",1,"Color","Drama|Romance",2002,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1",1309849,1e+07,7.2
"How to Lose a Guy in 10 Days ",116,"Donald Petrie",80,"Matthew McConaughey",11000,"Adam Goldberg",1000,"Thomas Lennon",651,140,357,156717,14087,0,"advertising executive|diamond|magazine|party|wager",2,"Color","Comedy|Romance",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1",105807520,5e+07,6.4
"The Orphanage ",105,"J.A. Bayona",171,"Geraldine Chaplin",382,"Belén Rueda",273,"Fernando Cayo",143,300,308,120189,954,11000,"dead children|ghost|missing child|orphan|orphanage",0,"Color","Drama|Mystery|Thriller",2007,"Spanish","Spain","R",2.35,"http://www.imdb.com/title/tt0464141/?ref_=fn_tt_tt_1",7159147,3400000,7.5
"8: The Mormon Proposition ",80,"Reed Cowan",0,"Dustin Lance Black",191,"Emily Pearson",12,"Gavin Newsom",5,28,30,1138,210,0,"church|marriage|mormon|mormon church|proposition",0,"Color","Documentary",2010,"English","USA","R",1.78,"http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1",99851,2500000,7.1
"28 Weeks Later ",100,"Juan Carlos Fresnadillo",35,"Jeremy Renner",10000,"Harold Perrineau",1000,"Catherine McCormack",306,274,713,212167,11471,0,"paris france|rage|sniper|u.s. army|zombie apocalypse",1,"Color","Drama|Horror|Sci-Fi",2007,"English","UK","R",1.85,"http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1",28637507,1.5e+07,7
